epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,671.483,1.05858,1.87112,1.12473,0.50115,0.45512,0.39121,0.29305,0.96555,2.94896,1.09424,0.000653333,0.000653333,0.000653333
2,1334.05,0.97864,1.52809,1.08939,0.55534,0.53309,0.50625,0.38072,0.96897,2.1518,1.09289,0.00129386,0.00129386,0.00129386
3,1975.88,0.98528,1.43428,1.08653,0.57099,0.55394,0.53623,0.39929,0.96818,1.64305,1.10255,0.00190799,0.00190799,0.00190799
4,2637.62,0.96238,1.39898,1.07986,0.59071,0.57933,0.5633,0.40298,0.97636,2.14445,1.10659,0.0018812,0.0018812,0.0018812
5,3242.91,0.93713,1.32604,1.05517,0.62297,0.6112,0.60722,0.43002,0.98306,1.60545,1.06915,0.0018416,0.0018416,0.0018416
6,3852.88,0.9065,1.26643,1.05061,0.61272,0.62829,0.6131,0.46296,0.913,1.42398,1.0453,0.001802,0.001802,0.001802
7,4339.13,0.89589,1.22183,1.05195,0.58704,0.60381,0.61478,0.47125,0.87874,1.36553,1.03254,0.0017624,0.0017624,0.0017624
8,4859.78,0.90489,1.15541,1.03695,0.62263,0.64098,0.62566,0.46793,0.89889,1.28388,1.02712,0.0017228,0.0017228,0.0017228
9,5334.42,0.87092,1.17994,1.03028,0.63136,0.61287,0.59215,0.43703,0.89147,1.35996,1.01926,0.0016832,0.0016832,0.0016832
10,6300.48,0.86903,1.14708,1.03727,0.61672,0.64042,0.62636,0.48503,0.86127,1.20346,1.02127,0.0016436,0.0016436,0.0016436
11,9062.76,0.86909,1.10569,1.01749,0.63227,0.63755,0.62228,0.48136,0.87936,1.19355,1.02809,0.001604,0.001604,0.001604
12,9687.4,0.86321,1.10921,1.03408,0.64065,0.63844,0.65994,0.50232,0.87368,1.2131,1.01464,0.0015644,0.0015644,0.0015644
13,10293.7,0.84011,1.11464,1.01153,0.61788,0.59927,0.62599,0.47813,0.82877,1.20948,1.0031,0.0015248,0.0015248,0.0015248
14,10882.4,0.8419,1.0646,1.01427,0.67575,0.64823,0.64956,0.49035,0.85585,1.20975,1.00752,0.0014852,0.0014852,0.0014852
15,12762.1,0.83998,1.02844,1.01537,0.63896,0.65947,0.65763,0.50266,0.84416,1.22373,1.01765,0.0014456,0.0014456,0.0014456
16,16050.2,0.82178,1.13099,1.01502,0.64156,0.66209,0.65973,0.50113,0.82247,1.16341,0.99611,0.001406,0.001406,0.001406
17,16652,0.79821,1.01548,0.98985,0.62887,0.6652,0.63927,0.47876,0.84895,1.20498,1.01939,0.0013664,0.0013664,0.0013664
18,17250.3,0.79993,1.03841,0.99586,0.68349,0.62194,0.66508,0.516,0.84105,1.11248,1.00506,0.0013268,0.0013268,0.0013268
19,17810.4,0.7955,1.01995,0.99534,0.62569,0.67996,0.66746,0.51923,0.81831,1.15512,0.99244,0.0012872,0.0012872,0.0012872
20,18293.2,0.80075,1.04106,1.00489,0.64132,0.62738,0.655,0.51594,0.82078,1.12673,0.99875,0.0012476,0.0012476,0.0012476
21,19482.1,0.79678,1.01723,0.99273,0.68552,0.65911,0.69742,0.54676,0.8058,1.05172,0.9921,0.001208,0.001208,0.001208
22,19971.2,0.77111,0.95823,0.96901,0.65585,0.65367,0.66265,0.51331,0.81024,1.11769,0.99185,0.0011684,0.0011684,0.0011684
23,20545.7,0.78451,0.98339,0.98887,0.65613,0.64461,0.64838,0.49753,0.8044,1.1518,0.99196,0.0011288,0.0011288,0.0011288
24,21146.6,0.78214,0.96985,0.98343,0.71166,0.63645,0.698,0.54748,0.82389,1.05784,0.99989,0.0010892,0.0010892,0.0010892
25,21697.1,0.78554,0.96153,0.98547,0.69721,0.65341,0.70218,0.54995,0.81047,1.0341,0.99677,0.0010496,0.0010496,0.0010496
26,22253.6,0.74186,0.90268,0.96512,0.6671,0.70535,0.71494,0.55836,0.79254,1.04601,0.98371,0.00101,0.00101,0.00101
27,22799.8,0.77045,0.93595,0.97596,0.65489,0.69719,0.70505,0.56068,0.78311,1.05159,0.98719,0.0009704,0.0009704,0.0009704
28,23326.5,0.74543,0.92067,0.97727,0.69124,0.67906,0.70621,0.54987,0.78807,1.02586,0.98431,0.0009308,0.0009308,0.0009308
29,23912.4,0.74733,0.93167,0.97216,0.65052,0.65367,0.65468,0.50677,0.8193,1.13087,0.99628,0.0008912,0.0008912,0.0008912
30,24386.7,0.73661,0.90081,0.96413,0.68191,0.67248,0.70911,0.55101,0.79541,1.00915,0.97706,0.0008516,0.0008516,0.0008516
31,24896.8,0.73736,0.87973,0.95349,0.68448,0.69625,0.71232,0.56219,0.77749,1.08836,0.98217,0.000812,0.000812,0.000812
32,25380.1,0.70532,0.89556,0.95439,0.72513,0.66013,0.70438,0.57024,0.77308,0.98358,0.97416,0.0007724,0.0007724,0.0007724
33,25871.3,0.74246,0.87624,0.96634,0.68151,0.69257,0.71116,0.56872,0.78112,1.09574,0.97829,0.0007328,0.0007328,0.0007328
34,27320.2,0.72531,0.89203,0.95809,0.73416,0.64596,0.71505,0.57744,0.75999,0.96615,0.96284,0.0006932,0.0006932,0.0006932
35,28400.2,0.70662,0.83942,0.9458,0.72274,0.68535,0.73327,0.58832,0.76827,0.96137,0.96422,0.0006536,0.0006536,0.0006536
36,45218.6,0.71286,0.84404,0.95755,0.67024,0.69719,0.71351,0.56697,0.76565,1.0055,0.96419,0.000614,0.000614,0.000614
37,45908.1,0.69931,0.82593,0.95015,0.68339,0.68994,0.71366,0.57191,0.76268,0.98752,0.9653,0.0005744,0.0005744,0.0005744
38,85634.5,0.71483,0.81192,0.95316,0.68552,0.70807,0.71944,0.57418,0.76326,0.95602,0.95671,0.0005348,0.0005348,0.0005348
39,86312,0.69703,0.82642,0.94811,0.69521,0.6721,0.71942,0.56172,0.77065,0.9975,0.97024,0.0004952,0.0004952,0.0004952
40,86875.8,0.69575,0.82439,0.95434,0.74153,0.66274,0.73061,0.58912,0.75823,0.96261,0.96742,0.0004556,0.0004556,0.0004556
41,87395.8,0.66416,0.78369,0.92003,0.67211,0.69503,0.70427,0.56083,0.74906,1.01996,0.95663,0.000416,0.000416,0.000416
42,87880.8,0.6627,0.72663,0.91759,0.71578,0.69538,0.73425,0.58857,0.75016,0.95607,0.95741,0.0003764,0.0003764,0.0003764
43,88371.9,0.66509,0.71863,0.91787,0.71755,0.67452,0.7273,0.58585,0.74465,0.95921,0.95876,0.0003368,0.0003368,0.0003368
44,88881.5,0.64488,0.69691,0.92438,0.70032,0.69628,0.72512,0.58478,0.74229,0.96575,0.95821,0.0002972,0.0002972,0.0002972
45,89369.1,0.63861,0.68158,0.91448,0.70511,0.70535,0.72649,0.58308,0.7432,0.96273,0.95848,0.0002576,0.0002576,0.0002576
46,89866.4,0.62962,0.67253,0.90341,0.69388,0.72167,0.72874,0.58384,0.74867,0.95139,0.95878,0.000218,0.000218,0.000218
47,90382.2,0.64065,0.65614,0.90951,0.704,0.69647,0.72108,0.58147,0.74224,0.96437,0.96098,0.0001784,0.0001784,0.0001784
48,90906.5,0.63099,0.6586,0.9099,0.72316,0.68444,0.72057,0.58134,0.74371,0.96537,0.95761,0.0001388,0.0001388,0.0001388
49,91432.2,0.6249,0.66631,0.90801,0.68653,0.72167,0.72767,0.58705,0.74401,0.94205,0.95539,9.92e-05,9.92e-05,9.92e-05
50,91945.9,0.62892,0.63672,0.91269,0.68527,0.71532,0.72689,0.58435,0.73687,0.94542,0.95244,5.96e-05,5.96e-05,5.96e-05
